titulo,data,resumo,link,operações,UF
 MANAUS TEM NOVA OPERAÇÃO CONTRA DESVIOS NA SAÚDE VIA TERCEIRIZAÇÃO ,09/10/2020,Segunda fase da Operação Sangria foi deflagrada nesta quinta (8),https://www.ataqueaoscofrespublicos.com/noticias/manaus-tem-nova-operacao-contra-desvios-na-saude-via-terceirizacao/,Operação Sangria,AM
 ORGANIZAÇÃO RESPONSÁVEL POR HOSPITAL REFERÊNCIA EM COVID 19 DESRESPEITOU CONTRATO ,08/10/2020,"Documento aponta que equipamento, que fica em Santa Catarina, praticou irregularidades em contratações de médicos quarteirizados que também tinham vínculo com o serviço público",https://www.ataqueaoscofrespublicos.com/noticias/organizacao-responsavel-por-hospital-referencia-em-covid-19-desrespeitou-contrato/,,SC
 ALERJ CONCLUI RELATÓRIO SOBRE IRREGULARIDADES NA SAÚDE E PEDE ANTECIPAÇÃO DO FIM DAS OSs NO RIO ,07/10/2020,"Uma das principais conclusões da comissão é que esse modelo de gestão da saúde, baseado nas Organizações Sociais, é fadado ao fracasso",https://www.ataqueaoscofrespublicos.com/noticias/alerj-conclui-relatorio-sobre-irregularidades-na-saude-e-pede-antecipacao-do-fim-das-oss-no-rio/,,RJ
 70 PESSOAS SÃO DENUNCIADAS POR DESVIOS NA SAÚDE POR MEIO DE CONTRATOS COM OSs ,06/10/2020,"Pedido da promotoria, protocolado na noite desta segunda (5), pede que a prisões dos alvos da Operação Raio X, deflagrada na última semana, sejam convertidas em preventivas",https://www.ataqueaoscofrespublicos.com/noticias/70-pessoas-sao-denunciadas-por-desvios-na-saude-por-meio-de-contratos-com-oss/,Operação Raio X,SP;PA
 SERVIDORES COMEMORAM REVOGAÇÃO DA TERCEIRIZAÇÃO DA UPA EM LAVRAS (MG) ,06/10/2020,Tribunal de Contas de Minas constatou diversas irregularidades no edital para seleção da Organização Social que foi escolhida e que é investigada pela Polícia Federal,https://www.ataqueaoscofrespublicos.com/noticias/servidores-comemoram-revogacao-da-terceirizacao-da-upa-em-lavras-mg/,,MG;SP
 FUABC ACUMULA MAIS UMA DERROTA POR CONTRATO IRREGULAR EM MAUÁ ,06/10/2020,TCE-SP negou recurso para a organização social em processo que reprovou a prestação de contas na terceirização da saúde,https://www.ataqueaoscofrespublicos.com/noticias/fuabc-acumula-mais-uma-derrota-por-contrato-irregular-em-maua/,,SP
 MINISTÉRIO PÚBLICO QUESTIONA QUARTEIRIZAÇÃO EM HOSPITAL ,05/10/2020,"Organização Social do Hospital de Urgências de Goiânia (HUGO) contratou empresas para serviços de limpeza, informatização e gestão da urgência e emergência; promotora diz que processo fragiliza trabalho feito por profissionais",https://www.ataqueaoscofrespublicos.com/noticias/ministerio-publico-questiona-quarteirizacao-em-hospital/,,GO
" FANTÁSTICO: A VIDA DE LUXO, COM VIAGENS E ORGIAS DOS EMPRESÁRIOS DE OSs ",05/10/2020,"Reportagem especial publicada neste domingo (4) mostra como dono de OSs e seus amigos fornecedores desviaram R$ 500 milhões da Saúde em contratos com 21 cidades de vários estados, inclusive Santos (SP)",https://www.ataqueaoscofrespublicos.com/noticias/fantastico-vida-de-luxo-com-viagens-e-orgias-dos-empresarios-de-oss/,Operação “Raio X”,SP;PA;PB;PR;MT;MS;MG
 TRIBUNAL DE CONTAS REPROVA CONVÊNIOS COM TERCEIRO SETOR EM SANTOS E CUBATÃO ,02/10/2020,Repasses na área da Educação e da Assistência Social foram questionados por conta de irregularidades na prestação de contas da utilização dos recursos públicos,https://www.ataqueaoscofrespublicos.com/noticias/tribunal-de-contas-reprova-convenios-com-terceiro-setor-em-santos-e-cubatao/,,SP
 CONSELHO DE SAÚDE REPUDIA PRIVATIZAÇÃO DA SAÚDE DA FAMÍLIA EM PORTO ALEGRE ,02/10/2020,Órgão divulgou nota pública com diversos argumentos que questionam a entrega do serviço a organizações sociais na capital gaúcha,https://www.ataqueaoscofrespublicos.com/noticias/conselho-de-saude-repudia-privatizacao-da-saude-da-familia-em-porto-alegre/,,MT;PA;SP;RS
" SERVIDORES QUE APURAVAM DENÚNCIAS CONTRA OSs ESTAVAM SENDO ESPIONADOS, DIZ MP ",02/10/2020,Aparelhos de espionagem para grampear conversas sem autorização da Justiça do Pará teriam sido usados justamente contra os servidores que estavam apurando as denúncias,https://www.ataqueaoscofrespublicos.com/noticias/servidores-que-apuravam-denuncias-contra-oss-estavam-sendo-espionados-diz-mp/,,PA
" RJ GASTOU QUASE R$ 7 BI COM OSs QUE NÃO PRESTARAM SERVIÇOS A CONTENTO, DIZEM ESPECIALISTAS ",01/10/2020,"Em matéria do G1, especialistas apontam discrepância entre o valor pago pelo estado e a qualidade do serviço oferecido à população.",https://www.ataqueaoscofrespublicos.com/noticias/rj-gastou-quase-r-7-bi-com-oss-que-nao-prestaram-servicos-a-contento-dizem-especialistas/,,RJ
" R$ 1 MILHÃO, AVIÕES E CARROS DE LUXO NA REGIÃO: O SALDO DA OPERAÇÃO RAIO X ",01/10/2020," Além o dinheiro,  três aviões, 47 carros, a maioria de luxo, foram apreendidos, junto com computadores, notebooks, livros de anotações e telefones celulares",https://www.ataqueaoscofrespublicos.com/noticias/r-1-milhao-avioes-e-carros-de-luxo-na-regiao-o-saldo-da-operacao-raio-x/,,PA;SP;MT;MS;MG;PR
" OPERADOR DE HELDER BARBALHO NO ESCÂNDALO DAS OSs TEM IDENTIDADE FALSA, R$ 600 MILHÕES DE PATRIMÔNIO E GANHOU CARRO DE LUXO ",30/09/2020,"Segundo a PF, fraudes na Saúde do Pará foram intermediadas por Nicolas André Tsontakis Morais, por seu lobby em prol da contratação de OSs",https://www.ataqueaoscofrespublicos.com/noticias/operador-de-helder-barbalho-no-escandalo-das-oss-tem-identidade-falsa-r-600-milhoes-de-patrimonio-e-ganhou-carro-de-luxo/,Operação S O S (Em São Paulo;Operação S O S;Operação Raio X,PA;SP
" SANTA CASA DE PACAEMBU, A OS QUE ATUA NO PAI BAIXADA SANTISTA É ALVO DE OPERAÇÃO ",30/09/2020,Diretora da unidade foi levada à delegacia,https://www.ataqueaoscofrespublicos.com/noticias/santa-casa-de-pacaembu-os-que-atua-no-pai-baixada-santista-e-alvo-de-operacao/,Operação Raio X,PA;SP
 SANTOS É CITADA EM MEGA ESQUEMA DE DESVIOS NA SAÚDE VIA OSs ,29/09/2020,OS que comanda o AME de Santos é citada nas investigações que miram vários estados; Justiça expediu 64 mandados de prisão e 237 de busca e apreensão,https://www.ataqueaoscofrespublicos.com/noticias/santos-e-citada-em-mega-esquema-de-desvios-na-saude-via-oss/,Operação Raio X,SP;MT;MS;MG;PA;PR
 JUSTIÇA DECRETA PRISÃO DE RÉU POR DESVIOS NA SAÚDE EM CACHOEIRA PAULISTA ,28/09/2020,"Os denunciados e as empresas ligadas a eles tiveram bens indisponibilizados até o limite de R$ 982.201,27.",https://www.ataqueaoscofrespublicos.com/noticias/justica-decreta-prisao-de-reu-por-desvios-na-saude-em-cachoeira-paulista/,,RJ
" POR PROBLEMAS NA TERCEIRIZAÇÃO, ADEMARIO SOFRE PEDIDO DE IMPUGNAÇÃO AO REGISTRO DE CANDIDATURA ",28/09/2020,"Prefeito tem prazo para se defender e se a decisão for favorável à impugnação, cabe recurso junto ao TRE",https://www.ataqueaoscofrespublicos.com/noticias/por-problemas-na-terceirizacao-ademario-sofre-pedido-de-impugnacao-ao-registro-de-candidatura/,,SP
